scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_296,2026-04-08 13:27:11,48.890679948745394,8.702137212278766,48.890811787534524,8.701549410758815,48.89077455317746,8.701550501018602,4,121.92032823062765,4.145696706779772,44.21546247752732,wknn_fingerprinting_smoothed_road_snapped,4,44.22665803488174,0,2,2,19.664021725560485,10.790732607735485,True,high_rmse;weak_router_support
scan_302,2026-04-08 13:27:37,48.89043439940722,8.702059935501858,48.89061733690326,8.701741842373513,48.89065844218459,8.701729543931695,3,52.188759964830226,4.663538692829854,34.73919929718581,wknn_fingerprinting_smoothed_road_snapped,3,5.483115119360386,1,1,1,27.91360406032027,18.4064909056012,True,high_rmse
scan_304,2026-04-08 13:27:49,48.89032477602501,8.702061083156018,48.89069981931108,8.70186945836902,48.89070035493808,8.701899814084161,3,66.05553219324884,2.222614495543337,43.44374811977897,wknn_fingerprinting_smoothed_road_snapped,5,64.60753168564496,0,0,5,12.203564009206497,13.307274103481463,True,high_rmse;weak_router_support
scan_305,2026-04-08 13:27:57,48.8902562168712,8.702080230212733,48.89059250907509,8.701678544890244,48.890649635135865,8.701661453137564,5,64.01798740576027,6.48115249033209,53.4561018239074,wknn_fingerprinting_smoothed_road_snapped,10,25.625563540850713,1,3,6,7.759608240273501,18.33715345863397,True,high_rmse;weak_router_support
scan_312,2026-04-08 13:28:36,48.89016371147312,8.701654002741089,48.89042758202332,8.70128364356417,48.89042782472667,8.701323503877088,3,40.86155487333622,2.917622029384185,38.073566614247476,wknn_fingerprinting_smoothed_road_snapped,6,40.235991430433685,0,0,6,32.852645966205905,34.95046955266623,True,weak_router_support
scan_313,2026-04-08 13:28:45,48.89018843167491,8.701501240675967,48.89034057186031,8.70132880933987,48.89034054704092,8.701324733140268,4,53.81449618829484,0.2983626966111671,21.299016584588486,wknn_fingerprinting_smoothed_road_snapped,9,38.43730117558224,0,1,8,11.514831667205128,9.716168572877521,True,high_rmse;weak_router_support
scan_314,2026-04-08 13:28:51,48.890174141654974,8.701412607836865,48.89029492033961,8.70110756229205,48.890191481465216,8.701095293035896,4,56.566985316332364,11.549780401133026,23.305422909093195,wknn_fingerprinting_smoothed_road_snapped,10,44.15726047120156,0,1,9,6.679527193082636,23.608913538801893,True,high_rmse;weak_router_support
scan_318,2026-04-08 13:29:30,48.89024980738625,8.701139938502163,48.890254341765896,8.701214356512992,48.89018579306173,8.701206225709555,3,81.16854891725818,7.654012920959506,8.620945105982194,wknn_fingerprinting_smoothed_road_snapped,3,59.44277518410695,0,0,3,21.66226585782572,8.144192020328134,True,high_rmse;weak_router_support
scan_323,2026-04-08 13:30:09,48.89027956723392,8.701081172704317,48.89021531877804,8.700330005705798,48.8902341,8.7004542,3,31.6175056996384,9.327527848224745,46.168443605864255,wknn_fingerprinting_smoothed_road_snapped,5,63.27137829852612,0,0,5,5.429173555700988,55.305335807240326,True,weak_router_support
scan_325,2026-04-08 13:30:20,48.89026248190547,8.700975259371347,48.89043969720572,8.700458978708768,48.89043930485263,8.700469657919488,4,13.455413541232605,0.7828628971421414,41.91595439219602,wknn_fingerprinting_smoothed_road_snapped,12,20.75634513471274,0,3,9,7.982046796319723,22.87140600722008,True,weak_router_support
